TrxID,Amount,TransactionTime
SYS-000001,17.0,2025-03-02
SYS-000002,98.6,2025-03-07
SYS-000003,99.5,2025-03-01
SYS-000004,33.8,2025-03-05
SYS-000005,55.5,2025-03-07
SYS-000006,2.9,2025-03-04
SYS-000007,42.7,2025-03-01
SYS-000008,11.3,2025-03-04
SYS-000009,21.4,2025-03-05
SYS-000010,19.3,2025-02-28
SYS-000011,9.0,2025-03-02
SYS-000012,62.3,2025-02-28
SYS-000013,11.9,2025-03-09
SYS-000014,57.7,2025-03-08
SYS-000015,69.6,2025-03-06
SYS-000016,8.1,2025-03-03
SYS-000017,58.1,2025-03-07
SYS-000018,38.3,2025-03-04
SYS-000019,75.5,2025-03-05
SYS-000020,71.0,2025-03-03
