TrxID,Amount,TransactionTime
SYS-000001,93.6,2025-03-04
SYS-000002,67.9,2025-03-02
SYS-000003,30.5,2025-03-01
SYS-000004,49.0,2025-03-06
SYS-000005,55.3,2025-02-28
SYS-000006,97.7,2025-03-03
SYS-000007,38.7,2025-02-28
SYS-000008,48.3,2025-03-02
SYS-000009,83.5,2025-03-05
SYS-000010,38.0,2025-03-06
SYS-000011,73.8,2025-03-09
SYS-000012,75.6,2025-03-05
SYS-000013,42.0,2025-03-02
SYS-000014,21.7,2025-03-05
SYS-000015,43.9,2025-03-09
SYS-000016,70.6,2025-03-07
SYS-000017,79.1,2025-03-06
SYS-000018,15.4,2025-03-02
SYS-000019,71.7,2025-02-28
SYS-000020,48.0,2025-03-06
SYS-000021,4.8,2025-03-07
SYS-000022,13.9,2025-03-04
SYS-000023,2.6,2025-03-06
SYS-000024,22.5,2025-03-07
SYS-000025,35.2,2025-03-06
SYS-000026,42.5,2025-03-05
SYS-000027,36.9,2025-03-09
SYS-000028,90.4,2025-03-08
SYS-000029,84.7,2025-03-05
SYS-000030,24.5,2025-03-08
