UniqueID,Amount,Date
BRI0,-49.701883,2025-03-01
BRI1,92.563285,2025-03-03
BRI2,44.377516,2025-03-03
BRI3,37.857761,2025-03-06
BRI4,48.475284,2025-02-28
BRI5,-39.415034,2025-03-09
BRI6,-32.578537,2025-03-08
BRI7,-87.668934,2025-03-08
BRI8,-68.386091,2025-03-01
BRI9,-18.866593,2025-03-04
BRI10,84.808984,2025-03-06
BRI11,44.564980,2025-03-01
BRI12,76.397884,2025-03-05
BRI13,68.404751,2025-03-08
BRI14,-90.693968,2025-03-02
BRI15,-0.479696,2025-03-02
BRI16,94.283886,2025-02-28
BRI17,-61.511737,2025-03-06
BRI18,-74.423262,2025-03-04
BRI19,-54.681440,2025-03-08
BRI20,21.101095,2025-03-01
BRI21,-80.118116,2025-03-01
BRI22,-67.676409,2025-03-07
BRI23,7.584661,2025-03-04
BRI24,65.857821,2025-03-07
BRI25,-87.609801,2025-03-02
BRI26,52.141854,2025-03-09
BRI27,17.601563,2025-03-08
BRI28,-65.691958,2025-03-07
BRI29,-4.920558,2025-02-28
BRI30,85.384794,2025-03-09
BRI31,52.975124,2025-03-08
BRI32,43.798130,2025-03-02
BRI33,-90.129681,2025-03-06
BRI34,71.313211,2025-03-01
BRI35,-70.775402,2025-03-07
BRI36,27.984817,2025-03-06
BRI37,98.135734,2025-03-01
BRI38,-40.656632,2025-03-07
BRI39,-38.605711,2025-02-28
BRI40,34.792209,2025-03-02
BRI41,60.116010,2025-03-09
BRI42,-19.130385,2025-03-07
BRI43,76.261902,2025-03-09
BRI44,56.658959,2025-03-01
BRI45,-98.167928,2025-03-08
BRI46,62.715635,2025-03-08
BRI47,-8.211135,2025-03-09
BRI48,-64.426531,2025-03-05
