UniqueID,Amount,Date
MANDIRI0,10.503802,2025-03-07
MANDIRI1,77.215267,2025-03-07
MANDIRI2,-92.766313,2025-03-09
MANDIRI3,-90.923661,2025-03-08
MANDIRI4,-3.978244,2025-03-08
MANDIRI5,6.738114,2025-03-09
MANDIRI6,55.440252,2025-03-03
MANDIRI7,-83.837536,2025-03-06
MANDIRI8,4.824179,2025-03-05
MANDIRI9,-83.478227,2025-03-06
MANDIRI10,90.892580,2025-03-03
MANDIRI11,86.294535,2025-03-02
MANDIRI12,-2.125083,2025-03-02
MANDIRI13,93.036532,2025-03-01
MANDIRI14,-0.309120,2025-03-07
MANDIRI15,-92.528648,2025-03-08
MANDIRI16,37.148419,2025-03-08
MANDIRI17,-50.878841,2025-03-08
MANDIRI18,74.011461,2025-03-09
MANDIRI19,-35.791803,2025-03-06
MANDIRI20,26.465658,2025-03-06
MANDIRI21,-91.108285,2025-03-07
MANDIRI22,25.854263,2025-02-28
MANDIRI23,-31.369713,2025-03-05
MANDIRI24,69.236671,2025-03-08
