UniqueID,Amount,Date
SYS-000001,40.8,2025-03-01
SYS-000002,84.6,2025-03-03
SYS-000003,74.2,2025-03-08
SYS-000004,7.7,2025-03-01
SYS-000005,58.0,2025-03-09
SYS-000006,30.4,2025-03-06
SYS-000007,44.0,2025-02-28
SYS-000008,15.3,2025-02-28
SYS-000009,19.7,2025-03-05
SYS-000010,32.6,2025-03-01
SYS-000011,85.0,2025-03-08
SYS-000012,75.0,2025-03-09
SYS-000013,42.2,2025-03-05
SYS-000014,59.8,2025-03-03
SYS-000015,86.2,2025-03-06
SYS-000016,93.8,2025-03-05
SYS-000017,3.6,2025-03-06
SYS-000018,44.0,2025-03-03
SYS-000019,29.8,2025-03-07
SYS-000020,53.6,2025-02-28
