UniqueID,Amount,Date
SYS-000001,29.7,2025-03-07
SYS-000002,24.3,2025-03-08
SYS-000003,91.6,2025-03-01
SYS-000004,29.0,2025-03-06
SYS-000005,46.5,2025-03-05
SYS-000006,0.7,2025-03-01
SYS-000007,0.1,2025-03-06
SYS-000008,3.8,2025-03-08
SYS-000009,87.7,2025-03-06
SYS-000010,76.8,2025-03-01
SYS-000011,46.0,2025-03-08
SYS-000012,93.0,2025-03-02
SYS-000013,84.8,2025-03-01
SYS-000014,31.9,2025-03-09
SYS-000015,44.9,2025-03-08
SYS-000016,94.4,2025-03-01
SYS-000017,94.1,2025-03-08
SYS-000018,60.0,2025-03-07
SYS-000019,37.2,2025-03-08
SYS-000020,10.5,2025-03-08
SYS-000021,19.7,2025-02-28
SYS-000022,53.5,2025-03-08
SYS-000023,25.8,2025-02-28
SYS-000024,77.6,2025-03-05
SYS-000025,81.4,2025-03-03
SYS-000026,88.7,2025-03-03
SYS-000027,34.5,2025-03-09
SYS-000028,14.8,2025-03-06
SYS-000029,61.5,2025-03-06
SYS-000030,42.5,2025-02-28
SYS-000031,46.2,2025-03-08
SYS-000032,58.1,2025-03-09
SYS-000033,28.9,2025-03-05
SYS-000034,78.3,2025-03-05
SYS-000035,92.4,2025-03-08
SYS-000036,59.7,2025-02-28
SYS-000037,5.2,2025-03-07
SYS-000038,66.5,2025-03-02
SYS-000039,4.8,2025-03-07
SYS-000040,36.6,2025-02-28
SYS-000041,96.6,2025-03-07
SYS-000042,93.7,2025-03-01
SYS-000043,63.9,2025-03-05
SYS-000044,62.6,2025-03-07
SYS-000045,16.7,2025-03-05
SYS-000046,58.1,2025-03-06
SYS-000047,42.2,2025-03-09
SYS-000048,60.3,2025-03-03
SYS-000049,16.3,2025-03-05
SYS-000050,55.8,2025-03-03
SYS-000051,83.5,2025-03-04
SYS-000052,12.6,2025-03-04
SYS-000053,30.4,2025-03-04
SYS-000054,81.1,2025-03-09
SYS-000055,9.1,2025-03-02
SYS-000056,70.4,2025-03-06
SYS-000057,39.0,2025-03-08
SYS-000058,50.1,2025-03-03
SYS-000059,95.3,2025-02-28
SYS-000060,34.6,2025-02-28
SYS-000061,54.5,2025-03-09
SYS-000062,87.9,2025-03-06
SYS-000063,39.9,2025-03-02
SYS-000064,54.3,2025-03-07
SYS-000065,84.7,2025-03-05
SYS-000066,8.4,2025-03-06
SYS-000067,95.6,2025-02-28
SYS-000068,80.9,2025-03-07
SYS-000069,48.0,2025-03-01
SYS-000070,6.3,2025-03-03
